video_id,person_id,session_id,split,start_time_s,end_time_s,action_name
per1_02_correct_20260918_143232_001,per1,02,train,0.0000,2.9607,idle
per1_02_correct_20260918_143232_001,per1,02,train,2.4806,5.0412,pick_case
per1_02_correct_20260918_143232_001,per1,02,train,5.1212,12.8031,insert_earbud
per1_02_correct_20260918_143232_001,per1,02,train,13.2832,16.6440,close_case
per1_02_correct_20260918_143302_002,per1,02,train,0.0000,2.1609,idle
per1_02_correct_20260918_143302_002,per1,02,train,2.1609,5.7623,pick_case
per1_02_correct_20260918_143302_002,per1,02,train,5.7623,13.6054,insert_earbud
per1_02_correct_20260918_143302_002,per1,02,train,13.5254,15.2861,close_case
per1_02_correct_20260918_143333_003,per1,02,train,0.0000,2.2413,pick_case
per1_02_correct_20260918_143333_003,per1,02,train,2.7215,8.7249,insert_earbud
per1_02_correct_20260918_143333_003,per1,02,train,8.7249,11.4464,close_case
per1_02_correct_20260918_143357_004,per1,02,train,0.3627,1.7229,idle
per1_02_correct_20260918_143357_004,per1,02,train,2.1763,6.5288,pick_case
per1_02_correct_20260918_143357_004,per1,02,train,7.4356,15.1433,insert_earbud
per1_02_correct_20260918_143357_004,per1,02,train,15.1433,17.9543,close_case
per1_02_correct_20260918_143436_005,per1,02,train,0.0000,1.2804,idle
per1_02_correct_20260918_143436_005,per1,02,train,1.2804,4.7215,pick_case
per1_02_correct_20260918_143436_005,per1,02,train,5.1216,10.8835,insert_earbud
per1_02_correct_20260918_143436_005,per1,02,train,10.8835,13.7644,close_case
per1_02_correct_20260918_143502_006,per1,02,train,0.0000,3.0407,idle
per1_02_correct_20260918_143502_006,per1,02,train,3.0407,5.6013,pick_case
per1_02_correct_20260918_143502_006,per1,02,train,6.0815,12.1629,insert_earbud
per1_02_correct_20260918_143502_006,per1,02,train,12.1629,15.2837,close_case
per1_02_correct_20260918_143533_007,per1,02,train,0.0000,0.9598,idle
per1_02_correct_20260918_143533_007,per1,02,train,1.5196,8.3980,insert_earbud
per1_02_correct_20260918_143533_007,per1,02,train,8.3980,11.5972,close_case
per1_02_correct_20260918_143554_008,per1,02,train,0.0000,2.0800,idle
per1_02_correct_20260918_143554_008,per1,02,train,2.6400,4.4800,pick_case
per1_02_correct_20260918_143554_008,per1,02,train,4.8000,11.5200,insert_earbud
per1_02_correct_20260918_143554_008,per1,02,train,12.0800,15.2800,close_case
per1_02_correct_20260918_143627_009,per1,02,train,0.0000,1.6804,idle
per1_02_correct_20260918_143627_009,per1,02,train,3.5208,7.3618,pick_case
per1_02_correct_20260918_143627_009,per1,02,train,7.6818,14.5635,insert_earbud
per1_02_correct_20260918_143627_009,per1,02,train,14.4035,18.4044,close_case
per1_02_correct_20260918_143655_010,per1,02,train,0.0000,1.1206,idle
per1_02_correct_20260918_143655_010,per1,02,train,1.4408,3.7621,pick_case
per1_02_correct_20260918_143655_010,per1,02,train,4.7226,12.4069,insert_earbud
per1_02_correct_20260918_143655_010,per1,02,train,12.1668,15.3686,close_case
per1_02_correct_20260918_143735_011,per1,02,train,0.0000,3.1175,idle
per1_02_correct_20260918_143735_011,per1,02,train,3.5971,6.0751,pick_case
per1_02_correct_20260918_143735_011,per1,02,train,6.0751,11.1910,insert_earbud
per1_02_correct_20260918_143735_011,per1,02,train,11.3509,15.2678,close_case
per1_02_correct_20260918_143800_012,per1,02,val,0.0000,2.6421,idle
per1_02_correct_20260918_143800_012,per1,02,val,3.0424,7.2058,pick_case
per1_02_correct_20260918_143800_012,per1,02,val,7.2058,14.4115,insert_earbud
per1_02_correct_20260918_143800_012,per1,02,val,14.4115,17.2938,close_case
per1_02_correct_20260918_143858_013,per1,02,val,0.0000,3.3611,idle
per1_02_correct_20260918_143858_013,per1,02,val,4.0813,7.4424,pick_case
per1_02_correct_20260918_143858_013,per1,02,val,7.4424,14.4046,insert_earbud
per1_02_correct_20260918_143858_013,per1,02,val,14.4046,17.6857,close_case
per1_02_correct_20260918_143927_014,per1,02,test,0.0000,2.1614,idle
per1_02_correct_20260918_143927_014,per1,02,test,2.4015,4.8831,pick_case
per1_02_correct_20260918_143927_014,per1,02,test,4.8831,8.8056,insert_earbud
per1_02_correct_20260918_143927_014,per1,02,test,8.8056,12.2478,close_case
per1_02_correct_20260918_144003_015,per1,02,test,0.0000,3.0603,idle
per1_02_correct_20260918_144003_015,per1,02,test,3.0603,7.0807,pick_case
per1_02_correct_20260918_144003_015,per1,02,test,7.0807,13.5614,insert_earbud
per1_02_correct_20260918_144003_015,per1,02,test,13.5614,17.8218,close_case
per1_02_correct_20260918_144035_016,per1,02,test,0.0000,2.9398,idle
per1_02_correct_20260918_144035_016,per1,02,test,3.2997,7.6794,pick_case
per1_02_correct_20260918_144035_016,per1,02,test,7.6794,14.0989,insert_earbud
per1_02_correct_20260918_144035_016,per1,02,test,14.0989,18.5385,close_case
per1_02_correct_20260918_144106_017,per1,02,test,0.0000,2.7222,idle
per1_02_correct_20260918_144106_017,per1,02,test,2.7222,3.6829,pick_case
per1_02_correct_20260918_144106_017,per1,02,test,3.6829,11.6894,insert_earbud
per1_02_correct_20260918_144106_017,per1,02,test,11.6894,16.2530,close_case
