video_id,person_id,session_id,scenario,path,duration_s
per1_01_correct_20260917_164858_001,per1,01,correct,data/earbud_actions/raw_videos/per1/01/per1_01_correct_20260917_164858_001.mp4,13.700
per1_01_correct_20260917_164921_002,per1,01,correct,data/earbud_actions/raw_videos/per1/01/per1_01_correct_20260917_164921_002.mp4,13.557
per1_01_correct_20260917_164936_003,per1,01,correct,data/earbud_actions/raw_videos/per1/01/per1_01_correct_20260917_164936_003.mp4,2.117
per1_01_correct_20260917_165027_004,per1,01,correct,data/earbud_actions/raw_videos/per1/01/per1_01_correct_20260917_165027_004.mp4,12.613
per1_01_correct_20260917_165051_005,per1,01,correct,data/earbud_actions/raw_videos/per1/01/per1_01_correct_20260917_165051_005.mp4,1.979
per1_01_correct_20260918_143113_018,per1,01,correct,data/earbud_actions/raw_videos/per1/01/per1_01_correct_20260918_143113_018.mp4,13.263
per1_02_correct_20260918_143232_001,per1,02,correct,data/earbud_actions/raw_videos/per1/02/per1_02_correct_20260918_143232_001.mp4,18.004
per1_02_correct_20260918_143302_002,per1,02,correct,data/earbud_actions/raw_videos/per1/02/per1_02_correct_20260918_143302_002.mp4,16.967
per1_02_correct_20260918_143333_003,per1,02,correct,data/earbud_actions/raw_videos/per1/02/per1_02_correct_20260918_143333_003.mp4,11.446
per1_02_correct_20260918_143357_004,per1,02,correct,data/earbud_actions/raw_videos/per1/02/per1_02_correct_20260918_143357_004.mp4,17.955
per1_02_correct_20260918_143436_005,per1,02,correct,data/earbud_actions/raw_videos/per1/02/per1_02_correct_20260918_143436_005.mp4,13.764
per1_02_correct_20260918_143502_006,per1,02,correct,data/earbud_actions/raw_videos/per1/02/per1_02_correct_20260918_143502_006.mp4,15.284
per1_02_correct_20260918_143533_007,per1,02,correct,data/earbud_actions/raw_videos/per1/02/per1_02_correct_20260918_143533_007.mp4,11.597
per1_02_correct_20260918_143554_008,per1,02,correct,data/earbud_actions/raw_videos/per1/02/per1_02_correct_20260918_143554_008.mp4,15.281
per1_02_correct_20260918_143627_009,per1,02,correct,data/earbud_actions/raw_videos/per1/02/per1_02_correct_20260918_143627_009.mp4,18.724
per1_02_correct_20260918_143655_010,per1,02,correct,data/earbud_actions/raw_videos/per1/02/per1_02_correct_20260918_143655_010.mp4,15.369
per1_02_correct_20260918_143735_011,per1,02,correct,data/earbud_actions/raw_videos/per1/02/per1_02_correct_20260918_143735_011.mp4,15.269
per1_02_correct_20260918_143800_012,per1,02,correct,data/earbud_actions/raw_videos/per1/02/per1_02_correct_20260918_143800_012.mp4,17.293
per1_02_correct_20260918_143858_013,per1,02,correct,data/earbud_actions/raw_videos/per1/02/per1_02_correct_20260918_143858_013.mp4,17.685
per1_02_correct_20260918_143927_014,per1,02,correct,data/earbud_actions/raw_videos/per1/02/per1_02_correct_20260918_143927_014.mp4,12.248
per1_02_correct_20260918_144003_015,per1,02,correct,data/earbud_actions/raw_videos/per1/02/per1_02_correct_20260918_144003_015.mp4,17.822
per1_02_correct_20260918_144035_016,per1,02,correct,data/earbud_actions/raw_videos/per1/02/per1_02_correct_20260918_144035_016.mp4,18.539
per1_02_correct_20260918_144106_017,per1,02,correct,data/earbud_actions/raw_videos/per1/02/per1_02_correct_20260918_144106_017.mp4,16.254
